SampleID	PD	CR_PR	pred_class_ssgsea	group
batch6_Solid_5-3	0.514537312	0.435786808	PD	PD
batch6_Solid_7-2	0.448812943	0.270786855	PD	PD
batch6_Solid_8-3	0.012939084	0.084556211	CR_PR	PD
batch6_Solid_8-4	0.35426979	0.381937976	CR_PR	PD
batch6_Solid_8-5	0.030405703	0.065013281	CR_PR	PD
batch6_Solid_9-6	0.367001698	0.469813124	CR_PR	PD
batch6_Solid_9-7	-0.085015058	0.150170892	CR_PR	PD
batch6_Solid_11-2	0.108992127	-0.0637672	PD	PD
batch6_Solid_11-3	0.282097095	0.120533816	PD	PD
batch6_Solid_11-4	0.20154883	-0.013954502	PD	PD
batch7B_163	-0.359100999	-0.128461816	CR_PR	PD
batch7B_188	-0.21835076	-0.196162949	CR_PR	PD
batch7B_160	-0.279547798	-0.063196982	CR_PR	CR_PR
batch7B_159	-0.276943443	-0.063542327	CR_PR	CR_PR
batch7B_166	-0.247541393	-0.012618792	CR_PR	CR_PR
batch7B_165	-0.2972616	-0.033599493	CR_PR	CR_PR
batch7B_164	-0.323650099	-0.070221074	CR_PR	CR_PR
batch7B_170	-0.485462688	-0.211743307	CR_PR	CR_PR
batch7B_162	-0.199805818	0.027388094	CR_PR	CR_PR
batch7B_168	-0.265640945	-0.009611444	CR_PR	CR_PR
batch7B_167	-0.027810799	0.12482854	CR_PR	CR_PR
batch7B_186	-0.106690058	-0.058331407	CR_PR	CR_PR
