cell_type,Responders,Non_Responders
B cell_TIMER,0.0908523301016242,0.0887245160496226
T cell CD4+_TIMER,0.0698692887397167,0.0718827515653805
T cell CD8+_TIMER,0.275024711539647,0.274266683704489
Neutrophil_TIMER,0.129243950468542,0.129246493985684
Macrophage_TIMER,0.0800417626556409,0.0762092204201646
Myeloid dendritic cell_TIMER,0.438836368868734,0.439285994269121
B cell naive_CIBERSORT,0.0876655235065509,0.111652482706784
B cell memory_CIBERSORT,0,0.000346638210822716
B cell plasma_CIBERSORT,0,0
T cell CD8+_CIBERSORT,0,0
T cell CD4+ naive_CIBERSORT,0,0.01907891775973
T cell CD4+ memory resting_CIBERSORT,0.106151707176763,0.155210668998201
T cell CD4+ memory activated_CIBERSORT,0,0
T cell follicular helper_CIBERSORT,0.0656729917926138,0
T cell regulatory (Tregs)_CIBERSORT,0,0
T cell gamma delta_CIBERSORT,0,0
NK cell resting_CIBERSORT,0,0.109234550530202
NK cell activated_CIBERSORT,0.0776958474134643,0
Monocyte_CIBERSORT,0.106541210602922,0.151640806044154
Macrophage M0_CIBERSORT,0,0
Macrophage M1_CIBERSORT,0,0
Macrophage M2_CIBERSORT,0.361945353081522,0.198628677317816
Myeloid dendritic cell resting_CIBERSORT,0,0.0028220394752896
Myeloid dendritic cell activated_CIBERSORT,0,0.0345259228867644
Mast cell activated_CIBERSORT,0,0
Mast cell resting_CIBERSORT,0.194327366426163,0.216859296070237
Eosinophil_CIBERSORT,0,0
Neutrophil_CIBERSORT,0,0
B cell naive_CIBERSORT-ABS,0.053720436251794,0.05835478336851
B cell memory_CIBERSORT-ABS,0,0.000181169260274572
B cell plasma_CIBERSORT-ABS,0,0
T cell CD8+_CIBERSORT-ABS,0,0
T cell CD4+ naive_CIBERSORT-ABS,0,0.00997153028561376
T cell CD4+ memory resting_CIBERSORT-ABS,0.0650485594600058,0.0811203185661111
T cell CD4+ memory activated_CIBERSORT-ABS,0,0
T cell follicular helper_CIBERSORT-ABS,0.0402436628214063,0
T cell regulatory (Tregs)_CIBERSORT-ABS,0,0
T cell gamma delta_CIBERSORT-ABS,0,0
NK cell resting_CIBERSORT-ABS,0,0.0570910594911402
NK cell activated_CIBERSORT-ABS,0.0476111320739701,0
Monocyte_CIBERSORT-ABS,0.0652872427318086,0.079254542057713
Macrophage M0_CIBERSORT-ABS,0,0
Macrophage M1_CIBERSORT-ABS,0,0
Macrophage M2_CIBERSORT-ABS,0.221795997891874,0.103812590232269
Myeloid dendritic cell resting_CIBERSORT-ABS,0,0.00147492915737827
Myeloid dendritic cell activated_CIBERSORT-ABS,0,0.0180448540131979
Mast cell activated_CIBERSORT-ABS,0,0
Mast cell resting_CIBERSORT-ABS,0.119081601095962,0.113340759979871
Eosinophil_CIBERSORT-ABS,0,0
Neutrophil_CIBERSORT-ABS,0,0
B cell_QUANTISEQ,0.0370765940665756,0.0289508535251986
Macrophage M1_QUANTISEQ,0.00893373862149052,0.00286866619069717
Macrophage M2_QUANTISEQ,0.0289196392811597,0.00922018625632489
Monocyte_QUANTISEQ,0.0112746094165182,0.10780643701108
Neutrophil_QUANTISEQ,0,0
NK cell_QUANTISEQ,0.0672495351842887,0.0643249969895853
T cell CD4+ (non-regulatory)_QUANTISEQ,0,0
T cell CD8+_QUANTISEQ,0,0
T cell regulatory (Tregs)_QUANTISEQ,0.0929660938424961,0.139090540259195
Myeloid dendritic cell_QUANTISEQ,0.104745765785766,0.0339699829233258
uncharacterized cell_QUANTISEQ,0.648834023801705,0.613768336844593
Myeloid dendritic cell activated_XCELL,0,1.075642447369e-21
B cell_XCELL,7.83138604844069e-21,0
T cell CD4+ memory_XCELL,5.49544018270129e-20,0.000363923579689133
T cell CD4+ naive_XCELL,1.63755793776988e-19,1.49371735951585e-19
T cell CD4+ (non-regulatory)_XCELL,0,8.40458550605505e-21
T cell CD4+ central memory_XCELL,0,0
T cell CD4+ effector memory_XCELL,9.8282070454724e-19,0.00753943337713095
T cell CD8+ naive_XCELL,3.69872328139619e-20,0.0036337419494226
T cell CD8+_XCELL,0,0.00318213821320119
T cell CD8+ central memory_XCELL,0,0.00411141182511179
T cell CD8+ effector memory_XCELL,6.37909998533205e-19,0
Class-switched memory B cell_XCELL,0,0
Common lymphoid progenitor_XCELL,7.49555191153019e-21,0
Common myeloid progenitor_XCELL,3.13935387709579e-05,0
Myeloid dendritic cell_XCELL,3.79919251519136e-21,2.09490904046897e-20
Endothelial cell_XCELL,0.00748619419318067,2.45709830877304e-21
Eosinophil_XCELL,6.94388762935355e-20,0
Cancer associated fibroblast_XCELL,2.14481479375616e-18,0
Granulocyte-monocyte progenitor_XCELL,0,0
Hematopoietic stem cell_XCELL,0.0421891211295609,0
Macrophage_XCELL,0.000943858341719232,1.49175624919852e-19
Macrophage M1_XCELL,7.33613933221005e-20,1.11065684823504e-20
Macrophage M2_XCELL,0.00137462651682113,1.28454180948693e-20
Mast cell_XCELL,8.2202651970785e-19,7.37487509305108e-05
B cell memory_XCELL,0,3.98775000266179e-21
Monocyte_XCELL,0,3.94468595231054e-19
B cell naive_XCELL,0,0
Neutrophil_XCELL,0,0
NK cell_XCELL,1.32487678185469e-18,0.00136970009019635
T cell NK_XCELL,0,1.36724396984847e-20
Plasmacytoid dendritic cell_XCELL,0,2.6175920134546e-20
B cell plasma_XCELL,7.20459123214358e-19,0.00175406067909305
T cell gamma delta_XCELL,2.96520375557371e-19,0
T cell CD4+ Th1_XCELL,9.7871898411801e-19,3.09178395207475e-19
T cell CD4+ Th2_XCELL,0,0.0081427420557559
T cell regulatory (Tregs)_XCELL,3.9461261087319e-19,0
immune score_XCELL,0.000629238894479489,0.00308372470288537
stroma score_XCELL,0.00374309709659034,4.98264847174337e-06
microenvironment score_XCELL,0.00437233599106983,0.00308870735135711
B cell_EPIC,0.306470952332698,0.341981629654556
Cancer associated fibroblast_EPIC,0.00697703588219555,0.0155136154870648
