cell_type,solid_13,solid_17,solid_19,solid_22,solid_23,solid_24,solid_25,solid_26,solid_27,solid_28
B cell_TIMER,0.10814261806894,0.108388355385199,0.101658982666175,0.11574368324101,0.10998931330225,0.106924000382425,0.0984237576483495,0.102976767905355,0.109287374536063,0.115399838128131
T cell CD4+_TIMER,0.122918327535068,0.155182255004895,0.128383448622382,0.108725807829048,0.115087853214781,0.120935290915557,0.125707200572879,0.122663608725618,0.124398025363135,0.112359800442092
T cell CD8+_TIMER,0.170472161497795,0.113669116226017,0.187301572308986,0.183657884277551,0.169559659919726,0.160545421739903,0.19376674956923,0.173869848607325,0.161681292356887,0.165631047131452
Neutrophil_TIMER,0.118351505143209,0.130336050485998,0.126948377359787,0.117322661614594,0.11809929533284,0.119618195541806,0.116529843637981,0.121566667218369,0.118709736488855,0.116394744399278
Macrophage_TIMER,0.0584614386661046,0.0886137316122983,0.109163067253101,0.0670015886425701,0.0396422227260233,0.0493513886009515,0.0896284520073024,0.0707570541303131,0.0562785479922616,0.0371601516175516
Myeloid dendritic cell_TIMER,0.477665244865569,0.454921527320392,0.44729283549218,0.477782596201578,0.498820511190642,0.483536422314332,0.461232786898801,0.469747673151299,0.477361851076154,0.493219762477588
B cell naive_CIBERSORT,0,0.179505815598448,0,0.0102158181916075,0,0,0,0.0760085335054396,0,0
B cell memory_CIBERSORT,0,0,0.0195903479514853,0,0.0114655372548116,0.00108666605376448,0,0,0,0
B cell plasma_CIBERSORT,0.0133249630906666,0.0136991338955424,0.00803846756045277,0,0.0136814820605097,0.00730939361420294,0,0.0219760160264494,0.0202974061553518,0.00209511805696743
T cell CD8+_CIBERSORT,0.00655502330343092,0,0.0211096095562913,0,0.0254260062970512,0,0,0,0.125737467544101,0.042700799212412
T cell CD4+ naive_CIBERSORT,0,0,0,0,0,0,0,0,0,0
T cell CD4+ memory resting_CIBERSORT,0.067503395551273,0.23329318670357,0.258965474412403,0.0524993780345352,0.2936972124525,0.103463239209885,0.306842155456636,0.129163613485271,0.229537190079308,0.347092397802726
T cell CD4+ memory activated_CIBERSORT,0,0,0,0,0,0,0,0,0,0
T cell follicular helper_CIBERSORT,0.00992509575615387,0,0.0192718598263035,0.00644251480745139,0,0.00345109593714692,0.0479195225027444,0.0517305898782963,0.0660624814067254,0.0425050073465318
T cell regulatory (Tregs)_CIBERSORT,0,0.0596153677258937,0,0,0,0,0,0,0,0
T cell gamma delta_CIBERSORT,0,0.00918112010211924,0,0,0,0,0,0,0,0
NK cell resting_CIBERSORT,0.0272116246726674,0,0,0,0.127860458670709,0.0372496916279249,0.0447009190542498,0,0.0135367706951645,0
NK cell activated_CIBERSORT,0.0139597333539848,0.0610348282069374,0.10001270113015,0.00573372465086131,0,0.019719652678741,0.0326354069640635,0.0433161107694732,0.0253437763693446,0.182179864144086
Monocyte_CIBERSORT,0.293360888422702,0.0296492205185592,0.0557905863459478,0.285077249457985,0.0649618163766846,0.213575393811638,0.0534064608357671,0.0614111639313309,0.02369483852212,0.0616203938315435
Macrophage M0_CIBERSORT,0,0,0,0,0.055942601818685,0,0,0,0,0
Macrophage M1_CIBERSORT,0.0126512432877956,0.0907164031505751,0.0137945873053779,0,0.00921260993115689,0.00214567332433277,0,0.0161900304229427,0.100792734300249,0
Macrophage M2_CIBERSORT,0.397844292210462,0.0090185966959663,0.309264229085174,0.431585624421092,0.347647281673825,0.263307645795103,0.475477537845007,0.343337654609265,0.390864931161551,0.0117988720960636
Myeloid dendritic cell resting_CIBERSORT,0,0.034163871193533,0,0,0,0,0,0,0,0
Myeloid dendritic cell activated_CIBERSORT,0,0.0485910014945857,0,0.0129532891552348,0.0116654521056667,0.00756870574530567,0.0199302939624128,0,0,0.0113854802105712
Mast cell activated_CIBERSORT,0,0.0553284725461344,0,0,0.00331349077302266,0,0,0,0,0
Mast cell resting_CIBERSORT,0.12097684778107,0,0.141235375784461,0.111507721635037,0,0.249044692350364,0.019087703379119,0.16998304124451,0,0.298622067299099
Eosinophil_CIBERSORT,0.0155702993382995,0.0902111965622883,0.0462355366117931,0.083984679646196,0,0.0920781498515915,0,0.0207861644627143,0.00408022373492127,0
Neutrophil_CIBERSORT,0.0211165932314938,0.0859917856058469,0.00669122443016023,0,0.0351260505853773,0,0,0.0660970816643071,5.21800311631069e-05,0
B cell naive_CIBERSORT-ABS,0,0,0,0.00310228209111624,0,0,0,0.0381791364370885,0,0
B cell memory_CIBERSORT-ABS,0,0,0.00958019428268538,0,0.00339698871378912,0.000180396845507444,0,0,0,0
B cell plasma_CIBERSORT-ABS,0.0051794918478889,0,0.00393102160078595,0,0.00405352484707648,0.00121342849167556,0,0.0110385673229363,0.00737404853167025,0.000363749777706341
T cell CD8+_CIBERSORT-ABS,0.00254797627069028,0,0.0103231530793494,0,0.0075331713210009,0,0,0,0.0456804273818526,0.00741361861196513
T cell CD4+ naive_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0
T cell CD4+ memory resting_CIBERSORT-ABS,0.0262389685122308,0,0.126640913347867,0.0159427152301006,0.0870160807818912,0.0171758765397954,0.0926754731345866,0.064878968117555,0.0833908710557947,0.0602614168325433
T cell CD4+ memory activated_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0
T cell follicular helper_CIBERSORT-ABS,0.00385794333603246,0,0.00942444523098268,0.00195642658610809,0,0.000572914575225878,0.014473123530619,0.0259843093643321,0.0240005023443506,0.00737962565989555
T cell regulatory (Tregs)_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0
T cell gamma delta_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0
NK cell resting_CIBERSORT-ABS,0.0105773192166375,0,0,0,0.0378822662550789,0.0061838012170564,0.0135010093927231,0,0.00491790937739674,0
NK cell activated_CIBERSORT-ABS,0.00542623079806594,0,0.0489088356131181,0.00174118518616273,0,0.00327364890568147,0.00985686525644877,0.0217577109664062,0.00920739504806472,0.0316296663400924
