"pathway","pval","padj","ES","NES","size"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_TUMOR_CELL",0.00202839756592292,0.373059177532598,0.715579249744028,1.68927598445726,15
"GOMF_CARD_DOMAIN_BINDING",0.00256218639906053,0.393068010272143,0.709111396065912,1.67400724952212,15
"GOBP_LYMPHANGIOGENESIS",0.00219183801273353,0.375503034006152,0.671377068012383,1.65835727565531,20
"GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION",0.00373652183196328,0.437328551365683,0.699713196325304,1.65182081367365,15
"GOBP_DENDRITIC_CELL_CHEMOTAXIS",0.00348146631169363,0.431632193323776,0.635769757506206,1.62208431703532,25
"REACTOME_INTERLEUKIN_10_SIGNALING",0.00100472219431327,0.366368993091057,0.599258397818543,1.61545232008292,43
"GOMF_ACETYLCHOLINE_GATED_MONOATOMIC_CATION_SELECTIVE_CHANNEL_ACTIVITY",0.00477909940526763,0.444063056380929,0.67745951682329,1.6149602035066,16
"GOMF_SUPEROXIDE_GENERATING_NAD_P_H_OXIDASE_ACTIVITY",0.00596296683753531,0.496118447378952,0.649800814461154,1.59486643379641,19
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION",0.000902979833450386,0.366368993091057,0.585399439209056,1.58876415213702,47
"GOBP_DENDRITIC_CELL_MIGRATION",0.00253678335870117,0.393068010272143,0.605472121889626,1.58395187830624,32
"GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION",0.0065755140382006,0.496118447378952,0.638611673506987,1.57742402226224,20
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2e-04,0.206633333333333,0.555384791957317,1.57508608751365,97
"GOBP_KERATINIZATION",0.00561740373812685,0.496118447378952,0.613346553383198,1.57154430432653,26
"GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY",0.00344582953278605,0.431632193323776,0.595819611365806,1.56417435384637,33
