Tumor_Sample_Barcode	total	cohort
TCGA-AB-2808-03B-01W-0728-08	741	LAML
TCGA-AB-2828-03B-01W-0728-08	718	LAML
TCGA-AB-2826-03B-01W-0728-08	616	LAML
TCGA-AB-2806-03B-01W-0728-08	491	LAML
TCGA-AB-2833-03B-01W-0728-08	445	LAML
TCGA-AB-2854-03B-01W-0728-08	285	LAML
TCGA-AB-2807-03B-01W-0728-08	232	LAML
TCGA-AB-2868-03B-01W-0728-08	66	LAML
TCGA-AB-2805-03B-01W-0728-08	45	LAML
TCGA-AB-2804-03B-01W-0728-08	38	LAML
TCGA-AB-2857-03B-01W-0728-08	32	LAML
TCGA-AB-2885-03A-01W-0732-08	30	LAML
TCGA-AB-2867-03B-01W-0728-08	29	LAML
TCGA-AB-2938-03A-01W-0732-08	29	LAML
TCGA-AB-2849-03B-01W-0728-08	27	LAML
TCGA-AB-2851-03B-01W-0728-08	26	LAML
TCGA-AB-2904-03A-01W-0732-08	26	LAML
TCGA-AB-2950-03A-01W-0733-08	26	LAML
TCGA-AB-2824-03B-01W-0728-08	25	LAML
TCGA-AB-2912-03A-01W-0732-08	24	LAML
TCGA-AB-2959-03A-01W-0733-08	24	LAML
TCGA-AB-2827-03B-01W-0728-08	23	LAML
TCGA-AB-2846-03B-01W-0728-08	23	LAML
TCGA-AB-2872-03A-01W-0732-08	23	LAML
TCGA-AB-2898-03A-01W-0733-08	22	LAML
TCGA-AB-2861-03B-01W-0728-08	21	LAML
TCGA-AB-2829-03B-01W-0728-08	19	LAML
TCGA-AB-2939-03A-01W-0745-08	19	LAML
TCGA-AB-2864-03B-01W-0728-08	18	LAML
TCGA-AB-2871-03A-01W-0732-08	18	LAML
TCGA-AB-2927-03A-01W-0755-09	18	LAML
TCGA-AB-2935-03A-01W-0745-08	18	LAML
TCGA-AB-2821-03B-01W-0728-08	17	LAML
TCGA-AB-2877-03A-01W-0732-08	17	LAML
TCGA-AB-2925-03A-01W-0732-08	17	LAML
TCGA-AB-2838-03A-01W-0726-08	16	LAML
TCGA-AB-2860-03B-01W-0728-08	16	LAML
TCGA-AB-2943-03A-01W-0745-08	16	LAML
TCGA-AB-2949-03A-01W-0733-08	16	LAML
TCGA-AB-2822-03D-01W-0755-09	15	LAML
TCGA-AB-2910-03A-01W-0745-08	15	LAML
TCGA-AB-2918-03A-01W-0745-08	15	LAML
TCGA-AB-2956-03A-01W-0733-08	15	LAML
TCGA-AB-2850-03B-01W-0728-08	14	LAML
TCGA-AB-2875-03A-01W-0732-08	14	LAML
TCGA-AB-2915-03A-01W-0745-08	14	LAML
TCGA-AB-2803-03B-01W-0728-08	13	LAML
TCGA-AB-2819-03B-01W-0728-08	13	LAML
TCGA-AB-2834-03B-01W-0728-08	13	LAML
TCGA-AB-2843-03B-01W-0728-08	13	LAML
TCGA-AB-2895-03A-01W-0733-08	13	LAML
TCGA-AB-2919-03A-01W-0745-08	13	LAML
TCGA-AB-2813-03B-01W-0728-08	12	LAML
TCGA-AB-2830-03B-01W-0728-08	12	LAML
TCGA-AB-2859-03B-01W-0728-08	12	LAML
TCGA-AB-2908-03A-01W-0745-08	12	LAML
TCGA-AB-2914-03A-01W-0732-08	12	LAML
TCGA-AB-2917-03A-01W-0732-08	12	LAML
TCGA-AB-2817-03B-01W-0728-08	11	LAML
TCGA-AB-2862-03B-01W-0728-08	11	LAML
TCGA-AB-2886-03A-01W-0732-08	11	LAML
TCGA-AB-2899-03A-01W-0733-08	11	LAML
TCGA-AB-2913-03A-01W-0732-08	11	LAML
TCGA-AB-2839-03B-01W-0728-08	10	LAML
TCGA-AB-2841-03B-01W-0728-08	10	LAML
TCGA-AB-2891-03A-01W-0733-08	10	LAML
TCGA-AB-2916-03A-01W-0732-08	10	LAML
TCGA-AB-2929-03A-01W-0732-08	10	LAML
TCGA-AB-2802-03B-01W-0728-08	9	LAML
TCGA-AB-2847-03B-01W-0728-08	9	LAML
TCGA-AB-2855-03B-01W-0728-08	9	LAML
TCGA-AB-2897-03A-01W-0733-08	9	LAML
TCGA-AB-2936-03A-01W-0745-08	9	LAML
TCGA-AB-2814-03D-01W-0755-09	8	LAML
TCGA-AB-2883-03A-01W-0732-08	8	LAML
TCGA-AB-2934-03A-01W-0745-08	8	LAML
TCGA-AB-2818-03B-01W-0728-08	7	LAML
TCGA-AB-2820-03B-01W-0728-08	7	LAML
TCGA-AB-2858-03D-01W-0755-09	7	LAML
TCGA-AB-2874-03A-01W-0732-08	7	LAML
TCGA-AB-2884-03A-01W-0732-08	7	LAML
TCGA-AB-2911-03A-01W-0732-08	7	LAML
TCGA-AB-2931-03A-01W-0745-08	7	LAML
TCGA-AB-2882-03A-01W-0761-09	6	LAML
TCGA-AB-2888-03A-01W-0732-08	6	LAML
TCGA-AB-2923-03A-01W-0745-08	6	LAML
TCGA-AB-2924-03A-01W-0745-08	6	LAML
TCGA-AB-2937-03A-01W-0732-08	6	LAML
TCGA-AB-2940-03A-01W-0733-08	6	LAML
TCGA-AB-2952-03A-01W-0733-08	6	LAML
TCGA-AB-2954-03A-01W-0733-08	6	LAML
TCGA-AB-2810-03B-01W-0728-08	5	LAML
TCGA-AB-2844-03B-01W-0728-08	5	LAML
TCGA-AB-2881-03A-01W-0732-08	5	LAML
TCGA-AB-2890-03A-01W-0732-08	5	LAML
TCGA-AB-2900-03A-01W-0733-08	5	LAML
TCGA-AB-2920-03A-01W-0732-08	5	LAML
TCGA-AB-2926-03A-01W-0732-08	5	LAML
TCGA-AB-2942-03A-01W-0733-08	5	LAML
TCGA-AB-2811-03B-01W-0728-08	4	LAML
TCGA-AB-2831-03A-01W-0726-08	4	LAML
TCGA-AB-2836-03B-01W-0728-08	4	LAML
TCGA-AB-2863-03D-01W-0755-09	4	LAML
TCGA-AB-2866-03B-01W-0728-08	4	LAML
TCGA-AB-2873-03A-01W-0732-08	4	LAML
TCGA-AB-2879-03A-01W-0732-08	4	LAML
TCGA-AB-2880-03A-01W-0732-08	4	LAML
TCGA-AB-2901-03A-01W-0733-08	4	LAML
TCGA-AB-2945-03A-01W-0733-08	4	LAML
TCGA-AB-2955-03A-01W-0733-08	4	LAML
TCGA-AB-2957-03A-01W-0733-08	4	LAML
TCGA-AB-2816-03B-01W-0728-08	3	LAML
TCGA-AB-2848-03B-01W-0728-08	3	LAML
TCGA-AB-2865-03B-01W-0728-08	3	LAML
TCGA-AB-2869-03A-01W-0761-09	3	LAML
TCGA-AB-2896-03A-01W-0733-08	3	LAML
TCGA-AB-2921-03A-01W-0755-09	3	LAML
TCGA-AB-2809-03D-01W-0755-09	2	LAML
TCGA-AB-2812-03B-01W-0728-08	2	LAML
TCGA-AB-2815-03B-01W-0728-08	2	LAML
TCGA-AB-2870-03A-01W-0732-08	2	LAML
TCGA-AB-2876-03A-01W-0732-08	2	LAML
TCGA-AB-2887-03A-01W-0732-08	2	LAML
TCGA-AB-2889-03A-01W-0732-08	2	LAML
TCGA-AB-2893-03A-01W-0733-08	2	LAML
TCGA-AB-2903-03A-01W-0761-09	2	LAML
TCGA-AB-2909-03A-01W-0745-08	2	LAML
TCGA-AB-2922-03A-01W-0745-08	2	LAML
TCGA-AB-2930-03A-01W-0761-09	2	LAML
TCGA-AB-2932-03A-01W-0745-08	2	LAML
TCGA-AB-2933-03A-01W-0732-08	2	LAML
TCGA-AB-2835-03B-01W-0728-08	1	LAML
TCGA-AB-2845-03D-01W-0755-09	1	LAML
TCGA-AB-2892-03A-01W-0733-08	1	LAML
TCGA-AB-2894-03A-01W-0733-08	1	LAML
